1744296022868498176, 1, 2/19, O
1744296022868918784, 0, 2/24, O
1744296022869215232, 1, 2/24, O
1744296022869510144, 0, 2/24, O
1744296022869805056, 0, 2/22, O
1744296022870175488, 1, 2/23, O
1744296022870471680, 0, 2/20, O
1744296022870768640, 1, 1/23, O
1744296022871063552, 0, 2/24, O
1744296022871359488, 0, 2/24, O
1744296022871653888, 1, 2/24, O
1744296022871948800, 0, 2/24, O
1744296022872242944, 1, 2/20, O
1744296022872539136, 1, 2/24, O
1744296022872833024, 1, 2/24, O
1744296022873126400, 0, 2/23, O
1744296022873419264, 0, 2/24, O
1744296022873712896, 0, 2/23, O
1744296022874025472, 1, 2/22, O
1744296022874321152, 1, 2/18, O
1744296022874768896, 0, 2/24, O
1744296022875064576, 1, 2/23, O
1744296022875359744, 1, 2/24, O
1744296022875653120, 0, 2/24, O
1744296022875947264, 0, 2/20, O
1744296022876244224, 1, 2/24, O
1744296022876536832, 1, 2/24, O
1744296022876828928, 1, 2/24, O
1744296022877122816, 0, 1/23, O
1744296022877415936, 0, 2/22, O
1744296022877712896, 0, 2/23, O
1744296022878064384, 0, 2/21, O
1744296022878360320, 0, 2/24, O
1744296022878654976, 0, 2/24, O
1744296022878948096, 0, 2/24, O
1744296022879243008, 1, 2/20, O
1744296022879539456, 1, 2/24, O
1744296022879834112, 0, 2/24, O
1744296022880128256, 0, 2/24, O
1744296022880422144, 1, 2/24, O
1744296022880718592, 0, 2/23, O
1744296022881013504, 1, 2/21, O
1744296022881310208, 1, 1/24, O
1744296022881604864, 0, 2/23, O
1744296022881898496, 0, 3/21, O
1744296022882192128, 0, 2/24, O
1744296022882485760, 0, 2/24, O
1744296022882779136, 0, 2/20, O
1744296022883075584, 0, 2/24, O
1744296022883369984, 1, 2/24, O
1744296022883664128, 1, 2/24, O
1744296022883956736, 0, 2/24, O
1744296022884250880, 1, 1/23, O
1744296022884545024, 1, 1/15, O
1744296022884842240, 0, 2/24, O
1744296022885136640, 1, 2/24, O
1744296022885430528, 0, 2/24, O
1744296022885723648, 1, 2/22, O
1744296022886068224, 0, 2/18, O
